iter	Passed	Remaining
0	277	277267
1	278	139032
2	279	92974
3	280	69869
4	281	56028
5	282	46813
6	283	40221
7	284	35258
8	285	31395
9	285	28301
10	286	25774
11	287	23671
12	288	21891
13	289	20363
14	290	19049
15	291	17908
16	292	16886
17	292	15974
18	293	15157
19	294	14425
20	295	13764
21	296	13165
22	297	12619
23	297	12114
24	298	11650
25	299	11224
26	300	10833
27	301	10464
28	302	10123
29	303	9807
30	304	9518
31	305	9237
32	306	8975
33	307	8726
34	308	8493
35	308	8272
36	309	8064
37	310	7865
38	311	7677
39	312	7500
40	313	7329
41	314	7168
42	315	7014
43	316	6869
44	317	6728
45	318	6607
46	319	6481
47	320	6359
48	321	6245
49	323	6141
50	324	6030
51	324	5923
52	325	5819
53	326	5719
54	327	5622
55	328	5530
56	328	5442
57	329	5359
58	330	5278
59	331	5198
60	332	5121
61	333	5047
62	334	4974
63	335	4903
64	336	4834
65	336	4767
66	337	4704
67	338	4635
68	339	4574
69	339	4515
70	340	4457
71	341	4401
72	342	4347
73	343	4299
74	345	4263
75	346	4216
76	347	4170
77	348	4123
78	349	4077
79	350	4032
80	351	3987
81	352	3943
82	353	3901
83	354	3860
84	354	3817
85	355	3778
86	356	3737
87	357	3700
88	357	3663
89	358	3627
90	359	3593
91	360	3561
92	361	3527
93	362	3494
94	363	3462
95	364	3430
96	365	3400
97	366	3376
98	368	3350
99	369	3322
100	370	3297
101	370	3265
102	371	3237
103	372	3212
104	373	3186
105	374	3160
106	375	3135
107	376	3112
108	378	3090
109	379	3067
110	380	3045
111	381	3023
112	382	2999
113	382	2975
114	383	2953
115	384	2930
116	385	2908
117	386	2888
118	387	2868
119	388	2847
120	389	2828
121	390	2809
122	391	2787
123	391	2768
124	392	2748
125	393	2729
126	394	2711
127	395	2691
128	395	2672
129	396	2655
130	397	2637
131	398	2619
132	399	2602
133	400	2586
134	401	2570
135	402	2555
136	403	2538
137	403	2521
138	404	2506
139	405	2490
140	406	2475
141	407	2460
142	408	2445
143	409	2431
144	410	2418
145	410	2403
146	412	2392
147	413	2381
148	414	2369
149	415	2355
150	416	2343
151	417	2330
152	418	2317
153	419	2304
154	420	2290
155	421	2278
156	421	2265
157	422	2252
158	423	2240
159	424	2228
160	425	2216
161	426	2204
162	427	2193
163	428	2181
164	429	2171
165	429	2159
166	430	2148
167	431	2137
168	432	2128
169	434	2122
170	435	2112
171	437	2104
172	438	2094
173	438	2083
174	439	2073
175	440	2062
176	441	2053
177	442	2044
178	443	2035
179	444	2025
180	445	2014
181	446	2004
182	447	1995
183	447	1986
184	448	1977
185	449	1968
186	450	1959
187	451	1950
188	452	1941
189	453	1933
190	454	1927
191	457	1924
192	458	1917
193	459	1910
194	460	1902
195	461	1894
196	462	1886
197	463	1878
198	464	1870
199	465	1862
200	466	1854
201	467	1847
202	468	1839
203	469	1833
204	470	1825
205	471	1818
206	472	1810
207	473	1803
208	474	1796
209	475	1789
210	477	1784
211	478	1777
212	479	1770
213	480	1763
214	481	1756
215	482	1749
216	483	1743
217	484	1736
218	485	1730
219	486	1723
220	486	1716
221	487	1709
222	488	1702
223	489	1696
224	490	1689
225	491	1682
226	492	1676
227	493	1670
228	494	1663
229	495	1657
230	495	1650
231	496	1644
232	497	1638
233	498	1631
234	500	1628
235	502	1626
236	503	1620
237	504	1614
238	504	1607
239	505	1601
240	506	1594
241	507	1588
242	508	1583
243	509	1577
244	509	1571
245	510	1565
246	512	1562
247	513	1557
248	514	1552
249	515	1546
250	516	1540
251	517	1535
252	518	1530
253	519	1525
254	520	1520
255	521	1514
256	522	1510
257	524	1507
258	525	1502
259	526	1498
260	527	1493
261	528	1487
262	529	1482
263	530	1478
264	531	1473
265	532	1468
266	533	1463
267	533	1458
268	534	1453
269	535	1448
270	536	1443
271	537	1438
272	538	1433
273	539	1429
274	540	1425
275	541	1421
276	542	1416
277	543	1411
278	544	1407
279	546	1404
280	548	1403
281	550	1400
282	551	1396
283	552	1391
284	553	1387
285	554	1383
286	554	1378
287	555	1373
288	556	1369
289	557	1365
290	558	1360
291	559	1355
292	560	1351
293	561	1348
294	562	1344
295	563	1339
296	564	1335
297	565	1331
298	565	1326
299	566	1322
300	567	1318
301	568	1314
302	569	1310
303	570	1306
304	571	1302
305	572	1298
306	573	1293
307	574	1289
308	574	1285
309	575	1281
310	576	1277
311	577	1273
312	578	1269
313	579	1265
314	580	1261
315	581	1257
316	581	1253
317	582	1249
318	583	1245
319	584	1242
320	585	1237
321	586	1234
322	586	1230
323	587	1226
324	588	1222
325	589	1219
326	591	1218
327	593	1215
328	594	1211
329	594	1207
330	595	1204
331	596	1200
332	597	1196
333	598	1192
334	599	1189
335	600	1185
336	600	1182
337	601	1178
338	602	1175
339	603	1171
340	604	1167
341	605	1164
342	606	1160
343	606	1157
344	607	1153
345	608	1150
346	609	1147
347	610	1144
348	612	1142
349	613	1139
350	614	1136
351	615	1133
352	617	1131
353	618	1127
354	618	1124
355	619	1121
356	620	1117
